StationUID,StationID,StationName,StationClass,LocationCity,LocationTown,LocationTownCode,PositionLon,PositionLat
TRA-5050,5050,潮州,1,屏東縣,潮州鎮,10013020,120.53662,22.55007
TRA-5060,5060,崁頂,5,屏東縣,崁頂鄉,10013180,120.51481,22.51311
TRA-5070,5070,南州,3,屏東縣,南州鄉,10013200,120.51159,22.49203
TRA-5080,5080,鎮安,5,屏東縣,林邊鄉,10013190,120.51151,22.45794
TRA-5090,5090,林邊,3,屏東縣,林邊鄉,10013190,120.51538,22.43141
TRA-5100,5100,佳冬,4,屏東縣,佳冬鄉,10013210,120.54782,22.41416
TRA-5110,5110,東海,5,屏東縣,枋寮鄉,10013160,120.57252,22.39903
TRA-5120,5120,枋寮,2,屏東縣,枋寮鄉,10013160,120.59501,22.36786
TRA-5130,5130,加祿,3,屏東縣,枋山鄉,10013250,120.62445,22.33085
TRA-5140,5140,內獅,5,屏東縣,枋山鄉,10013250,120.64322,22.30615
TRA-5160,5160,枋山,4,屏東縣,獅子鄉,10013320,120.65968,22.26677
TRA-5170,5170,枋野,3,屏東縣,獅子鄉,10013320,120.71709,22.28091
TRA-5190,5190,大武,3,臺東縣,大武鄉,10014100,120.90091,22.36537
TRA-5200,5200,瀧溪,4,臺東縣,太麻里鄉,10014090,120.94188,22.46072
TRA-5210,5210,金崙,3,臺東縣,太麻里鄉,10014090,120.96721,22.53161
TRA-5220,5220,太麻里,3,臺東縣,太麻里鄉,10014090,121.00505,22.61879
TRA-5230,5230,知本,3,臺東縣,臺東市,10014010,121.06128,22.71008
TRA-5240,5240,康樂,4,臺東縣,臺東市,10014010,121.09338,22.76406
TRA-5999,5999,潮州基地,4,屏東縣,潮州鎮,10013020,120.52642,22.52231
TRA-6000,6000,臺東,1,臺東縣,臺東市,10014010,121.12326,22.79375
TRA-6010,6010,山里,3,臺東縣,卑南鄉,10014040,121.13778,22.86194
TRA-6020,6020,鹿野,3,臺東縣,鹿野鄉,10014050,121.13696,22.91251
TRA-6030,6030,瑞源,3,臺東縣,鹿野鄉,10014050,121.15902,22.95613
TRA-6040,6040,瑞和,5,臺東縣,鹿野鄉,10014050,121.15573,22.98001
TRA-6050,6050,關山,3,臺東縣,關山鎮,10014030,121.16441,23.04564
TRA-6060,6060,海端,4,臺東縣,關山鎮,10014030,121.17695,23.10257
TRA-6070,6070,池上,3,臺東縣,池上鄉,10014060,121.21945,23.12628
TRA-6080,6080,富里,3,花蓮縣,富里鄉,10015100,121.24864,23.17935
TRA-6090,6090,東竹,3,花蓮縣,富里鄉,10015100,121.27844,23.22612
TRA-6100,6100,東里,3,花蓮縣,富里鄉,10015100,121.30575,23.27127
TRA-6110,6110,玉里,1,花蓮縣,玉里鎮,10015030,121.31181,23.33161
TRA-6120,6120,三民,3,花蓮縣,玉里鎮,10015030,121.34561,23.42463
TRA-6130,6130,瑞穗,3,花蓮縣,瑞穗鄉,10015090,121.37689,23.49739
TRA-6140,6140,富源,3,花蓮縣,瑞穗鄉,10015090,121.38003,23.58028
TRA-6150,6150,大富,5,花蓮縣,光復鄉,10015070,121.38969,23.60572
TRA-6160,6160,光復,3,花蓮縣,光復鄉,10015070,121.42125,23.66633
TRA-6170,6170,萬榮,3,花蓮縣,鳳林鎮,10015020,121.41907,23.71199
TRA-6180,6180,鳳林,3,花蓮縣,鳳林鎮,10015020,121.44708,23.74625
TRA-6190,6190,南平,3,花蓮縣,鳳林鎮,10015020,121.45833,23.78228
TRA-6200,6200,林榮新光,4,花蓮縣,鳳林鎮,10015020,121.46166,23.80167
TRA-6210,6210,豐田,4,花蓮縣,壽豐鄉,10015060,121.49619,23.84836
TRA-6220,6220,壽豐,3,花蓮縣,壽豐鄉,10015060,121.51064,23.86901
TRA-6230,6230,平和,5,花蓮縣,壽豐鄉,10015060,121.52036,23.88275
TRA-6240,6240,志學,3,花蓮縣,壽豐鄉,10015060,121.52947,23.90751
TRA-6250,6250,吉安,3,花蓮縣,吉安鄉,10015050,121.58261,23.96825
TRA-7000,7000,花蓮,0,花蓮縣,花蓮市,10015010,121.60158,23.99264
TRA-7010,7010,北埔,3,花蓮縣,新城鄉,10015040,121.60189,24.03251
TRA-7020,7020,景美,4,花蓮縣,秀林鄉,10015110,121.61103,24.09039
TRA-7030,7030,新城,2,花蓮縣,新城鄉,10015040,121.64103,24.12761
TRA-7040,7040,崇德,3,花蓮縣,秀林鄉,10015110,121.65555,24.17111
TRA-7050,7050,和仁,3,花蓮縣,秀林鄉,10015110,121.71192,24.24219
TRA-7060,7060,和平,2,花蓮縣,秀林鄉,10015110,121.75322,24.29825
TRA-7070,7070,漢本,3,宜蘭縣,南澳鄉,10002120,121.76878,24.33561
TRA-7080,7080,武塔,5,宜蘭縣,南澳鄉,10002120,121.77601,24.44879
TRA-7090,7090,南澳,3,宜蘭縣,蘇澳鎮,10002030,121.80103,24.46342
TRA-7100,7100,東澳,2,宜蘭縣,南澳鄉,10002120,121.83071,24.51828
TRA-7110,7110,永樂,3,宜蘭縣,蘇澳鎮,10002030,121.84458,24.56843
TRA-7120,7120,蘇澳,2,宜蘭縣,蘇澳鎮,10002030,121.85142,24.59524
TRA-7130,7130,蘇澳新,1,宜蘭縣,蘇澳鎮,10002030,121.82719,24.60852
